Species	Phylum	Order	Genus	TaxID	B12 synthesis	DMB synthesis	B7 synthesis	B3 synthesis	PABA synthesis
Herbidospora cretacea	Actinobacteria	Streptosporangiales	Herbidospora	28444	1	0	1	1	0
Bacillus sonorensis	Firmicutes	Bacillales	Bacillus	119858	0	0	1	1	1
Bosea sp. 117	Proteobacteria	Rhizobiales	Bosea	1125973	1	1	0	1	1
Marinithermus hydrothermalis	Deinococcus-Thermus	Thermales	Marinithermus	186192	0	0	1	1	0
Microbacterium sp. SA39	Actinobacteria	Micrococcales	Microbacterium	1263625	0	0	0	1	1
Rhodococcus sp. DK17	Actinobacteria	Corynebacteriales	Rhodococcus	186196	0	1	0	0	0
Cupriavidus sp. UYPR2.512	Proteobacteria	Burkholderiales	Cupriavidus	1080187	0	0	1	1	0
Agrobacterium sp. C13	Proteobacteria	Rhizobiales	Agrobacterium	439366	1	1	1	1	1
Pseudacidovorax intermedius	Proteobacteria	Burkholderiales	Pseudacidovorax	433924	0	0	0	0	1
Rhizobacter sp. Root16D2	Proteobacteria	Burkholderiales	Rhizobacter	1736479	1	0	1	1	0
Microbacterium sp. Root166	Actinobacteria	Micrococcales	Microbacterium	1736478	0	0	0	1	1
Mesorhizobium sp. Root157	Proteobacteria	Rhizobiales	Mesorhizobium	1736477	1	0	0	1	0
Sphingopyxis sp. Root154	Proteobacteria	Sphingomonadales	Sphingopyxis	1736476	0	0	1	1	0
Nocardioides sp. Root151	Actinobacteria	Propionibacteriales	Nocardioides	1736475	1	1	1	1	1
Sphingopyxis sp. Root1497	Proteobacteria	Sphingomonadales	Sphingopyxis	1736474	0	0	1	1	1
Rhizobium sp. Root149	Proteobacteria	Rhizobiales	Rhizobium	1736473	1	1	1	1	1
Massilia sp. Root1485	Proteobacteria	Burkholderiales	Massilia	1736472	0	0	1	1	0
Duganella sp. Root1480D1	Proteobacteria	Burkholderiales	Duganella	1736471	1	1	1	1	0
Caulobacter sp. Root1472	Proteobacteria	Caulobacterales	Caulobacter	1736470	0	0	1	1	1
Nesterenkonia sp. AN1	Actinobacteria	Micrococcales	Nesterenkonia	652017	0	0	0	0	0
Geobacillus subterraneus	Firmicutes	Bacillales	Geobacillus	129338	1	0	1	0	1
